code_commune_insee,nom_de_la_commune
14371,22
14654,22
14061,21
98729,20
50041,19
14431,18
76618,18
27049,17
98719,17
49018,15
49092,15
49331,15
27198,14
27213,14
49228,14
14726,14
61474,14
89086,14
97411,13
50099,12
98745,12
49050,11
49218,11
49244,11
49248,11
61167,11
97415,11
49023,10
49301,10
14658,10
14762,10
50256,10
61491,10
98724,10
98726,10
83069,10
98723,10
98720,10
49069,9
49373,9
22093,9
24253,9
59183,9
28103,9
52140,9
52332,9
50236,9
50410,9
61339,9
79049,9
98731,9
74010,9
49080,8
49125,8
49261,8
02439,8
14011,8
14027,8
24064,8
61007,8
79013,8
61230,8
73187,8
74208,8
39209,7
41173,7
45191,7
49307,7
01036,7
13004,7
22046,7
50129,7
50400,7
50487,7
50523,7
50550,7
55551,7
61153,7
50260,7
61486,7
76258,7
79079,7
79196,7
80443,7
69135,7
61211,7
72137,7
73010,7
97416,7
28393,6
31555,6
39478,6
44180,6
48009,6
48027,6
50082,6
04039,6
11069,6
13001,6
14005,6
14174,6
16242,6
17337,6
24026,6
25424,6
28012,6
50142,6
50197,6
06088,6
12223,6
13213,6
14098,6
16192,6
52094,6
50419,6
50546,6
16339,6
61309,6
61484,6
61196,6
83118,6
98757,6
81233,6
97422,6
98716,6
70122,6
79174,6
79179,6
89469,6
69021,6
73006,6
27105,5
35288,5
38253,5
38475,5
39130,5
39470,5
41059,5
42218,5
45240,5
46138,5
46201,5
46311,5
48094,5
49328,5
49345,5
50215,5
05139,5
12270,5
14126,5
14342,5
14570,5
14689,5
15108,5
15141,5
16204,5
24028,5
25223,5
59350,5
28406,5
33063,5
41248,5
48146,5
14150,5
16046,5
16230,5
52242,5
52529,5
53161,5
54059,5
50273,5
50359,5
50492,5
50565,5
55123,5
55500,5
48127,5
01033,5
13056,5
50591,5
67066,5
67122,5
77316,5
79078,5
79329,5
69228,5
85146,5
89197,5
98740,5
98743,5
98805,5
98817,5
72262,5
83035,5
98721,5
74282,5
63345,5
65123,5
73150,5
86233,5
87085,5
88029,5
69248,5
79191,5
86082,5
86281,5
98747,5
73290,5
71270,5
73257,5
27157,4
27425,4
28199,4
28422,4
30341,4
33236,4
35282,4
38479,4
39021,4
39290,4
39504,4
39576,4
41171,4
44109,4
44213,4
46033,4
49200,4
01032,4
01185,4
04023,4
04167,4
06069,4
07334,4
08115,4
08173,4
08366,4
08437,4
09334,4
12090,4
14406,4
14475,4
14527,4
14576,4
14672,4
15142,4
15153,4
16175,4
17093,4
22004,4
22084,4
22264,4
24053,4
24172,4
61050,4
28330,4
30339,4
31085,4
34172,4
35004,4
38212,4
39137,4
39331,4
39378,4
39485,4
40197,4
42207,4
48034,4
49367,4
01187,4
01453,4
02458,4
02738,4
06004,4
08490,4
09107,4
12076,4
14143,4
14281,4
16286,4
24259,4
25505,4
51612,4
52064,4
52114,4
52265,4
52432,4
52491,4
52497,4
53062,4
53127,4
50391,4
50444,4
55012,4
55040,4
55117,4
55184,4
55274,4
64396,4
2B167,4
33529,4
39286,4
44069,4
49163,4
13016,4
52031,4
52187,4
52411,4
53029,4
50592,4
50601,4
51158,4
55254,4
67004,4
67061,4
67176,4
67339,4
67372,4
68224,4
61375,4
61096,4
74289,4
76289,4
79061,4
80436,4
80582,4
69157,4
69159,4
69299,4
70285,4
70373,4
52189,4
52353,4
57672,4
83112,4
85090,4
98728,4
98739,4
98746,4
71582,4
72138,4
97413,4
97418,4
98714,4
